BILLING_DOC,ANOMALY_TYPE
BILLDOC500004,UNDERBILLING
BILLDOC500049,BILLING_SPIKE
BILLDOC500069,BILLING_SPIKE
BILLDOC500120,UNDERBILLING
BILLDOC500129,UNEXPLAINED_CREDIT
BILLDOC500174,UNDERBILLING
BILLDOC500186,UNEXPLAINED_CREDIT
BILLDOC500209,BILLING_SPIKE
BILLDOC500218,UNDERBILLING
BILLDOC500248,BILLING_SPIKE
BILLDOC500293,BILLING_SPIKE
BILLDOC500317,BILLING_SPIKE
BILLDOC500345,DUPLICATE_CHARGE
BILLDOC500346,DUPLICATE_CHARGE
BILLDOC500358,UNEXPLAINED_CREDIT
BILLDOC500395,UNDERBILLING
BILLDOC500466,DUPLICATE_CHARGE
BILLDOC500467,DUPLICATE_CHARGE
BILLDOC500539,UNDERBILLING
BILLDOC500545,DUPLICATE_CHARGE
BILLDOC500546,DUPLICATE_CHARGE
BILLDOC500580,UNDERBILLING
BILLDOC500608,BILLING_SPIKE
BILLDOC500674,UNEXPLAINED_CREDIT
BILLDOC500676,UNEXPLAINED_CREDIT
BILLDOC500679,UNDERBILLING
BILLDOC500693,DUPLICATE_CHARGE
BILLDOC500694,DUPLICATE_CHARGE
BILLDOC500711,UNDERBILLING
BILLDOC500712,BILLING_SPIKE
BILLDOC500773,UNDERBILLING
BILLDOC500784,UNDERBILLING
BILLDOC500808,BILLING_SPIKE
BILLDOC500848,BILLING_SPIKE
BILLDOC500957,UNEXPLAINED_CREDIT
BILLDOC500960,UNDERBILLING
BILLDOC501050,UNEXPLAINED_CREDIT
BILLDOC501138,UNEXPLAINED_CREDIT
BILLDOC501140,UNEXPLAINED_CREDIT
BILLDOC501159,DUPLICATE_CHARGE
BILLDOC501160,DUPLICATE_CHARGE
BILLDOC501165,BILLING_SPIKE
BILLDOC501191,BILLING_SPIKE
BILLDOC501215,UNDERBILLING
BILLDOC501246,DUPLICATE_CHARGE
BILLDOC501247,DUPLICATE_CHARGE
BILLDOC501259,BILLING_SPIKE
BILLDOC501261,BILLING_SPIKE
BILLDOC501282,BILLING_SPIKE
BILLDOC501286,DUPLICATE_CHARGE
BILLDOC501287,DUPLICATE_CHARGE
BILLDOC501320,UNDERBILLING
BILLDOC501342,DUPLICATE_CHARGE
BILLDOC501343,DUPLICATE_CHARGE
BILLDOC501349,BILLING_SPIKE
BILLDOC501378,BILLING_SPIKE
BILLDOC501393,UNEXPLAINED_CREDIT
BILLDOC501399,BILLING_SPIKE
BILLDOC501429,BILLING_SPIKE
BILLDOC501482,DUPLICATE_CHARGE
BILLDOC501483,DUPLICATE_CHARGE
BILLDOC501486,DUPLICATE_CHARGE
BILLDOC501487,DUPLICATE_CHARGE
BILLDOC501578,UNDERBILLING
BILLDOC501586,BILLING_SPIKE
BILLDOC501588,DUPLICATE_CHARGE
BILLDOC501589,DUPLICATE_CHARGE
BILLDOC501627,UNDERBILLING
BILLDOC501705,UNDERBILLING
BILLDOC501713,BILLING_SPIKE
BILLDOC501716,UNEXPLAINED_CREDIT
BILLDOC501728,BILLING_SPIKE
BILLDOC501760,BILLING_SPIKE
BILLDOC501772,BILLING_SPIKE
BILLDOC501776,UNEXPLAINED_CREDIT
BILLDOC501822,UNEXPLAINED_CREDIT
BILLDOC501836,BILLING_SPIKE
BILLDOC501893,UNEXPLAINED_CREDIT
BILLDOC501909,UNEXPLAINED_CREDIT
BILLDOC501984,BILLING_SPIKE
BILLDOC502003,BILLING_SPIKE
BILLDOC502023,BILLING_SPIKE
BILLDOC502027,DUPLICATE_CHARGE
BILLDOC502028,DUPLICATE_CHARGE
BILLDOC502049,BILLING_SPIKE
BILLDOC502064,DUPLICATE_CHARGE
BILLDOC502065,DUPLICATE_CHARGE
BILLDOC502138,UNEXPLAINED_CREDIT
BILLDOC502160,UNEXPLAINED_CREDIT
BILLDOC502162,UNDERBILLING
BILLDOC502185,UNDERBILLING
BILLDOC502199,DUPLICATE_CHARGE
BILLDOC502200,DUPLICATE_CHARGE
BILLDOC502287,DUPLICATE_CHARGE
BILLDOC502288,DUPLICATE_CHARGE
BILLDOC502298,BILLING_SPIKE
BILLDOC502386,UNDERBILLING
BILLDOC502407,BILLING_SPIKE
BILLDOC502471,DUPLICATE_CHARGE
BILLDOC502472,DUPLICATE_CHARGE
BILLDOC502473,BILLING_SPIKE
BILLDOC502496,UNDERBILLING
BILLDOC502574,DUPLICATE_CHARGE
BILLDOC502575,DUPLICATE_CHARGE
BILLDOC502596,BILLING_SPIKE
BILLDOC502614,UNDERBILLING
BILLDOC502615,BILLING_SPIKE
BILLDOC502620,DUPLICATE_CHARGE
BILLDOC502621,DUPLICATE_CHARGE
BILLDOC502628,BILLING_SPIKE
BILLDOC502633,UNEXPLAINED_CREDIT
BILLDOC502645,UNDERBILLING
BILLDOC502673,UNEXPLAINED_CREDIT
BILLDOC502682,BILLING_SPIKE
BILLDOC502716,BILLING_SPIKE
BILLDOC502754,UNEXPLAINED_CREDIT
BILLDOC502765,UNDERBILLING
BILLDOC502776,BILLING_SPIKE
BILLDOC502850,BILLING_SPIKE
BILLDOC502871,UNDERBILLING
BILLDOC502900,UNDERBILLING
BILLDOC502949,UNEXPLAINED_CREDIT
BILLDOC502963,BILLING_SPIKE
BILLDOC502976,BILLING_SPIKE
BILLDOC502994,BILLING_SPIKE
BILLDOC503013,UNDERBILLING
BILLDOC503073,UNDERBILLING
BILLDOC503102,BILLING_SPIKE
BILLDOC503104,UNDERBILLING
BILLDOC503112,UNDERBILLING
BILLDOC503238,BILLING_SPIKE
BILLDOC503301,BILLING_SPIKE
BILLDOC503343,UNDERBILLING
BILLDOC503347,BILLING_SPIKE
BILLDOC503355,UNDERBILLING
BILLDOC503376,BILLING_SPIKE
BILLDOC503411,BILLING_SPIKE
BILLDOC503437,DUPLICATE_CHARGE
BILLDOC503438,DUPLICATE_CHARGE
BILLDOC503469,BILLING_SPIKE
BILLDOC503479,UNEXPLAINED_CREDIT
BILLDOC503526,BILLING_SPIKE
BILLDOC503557,UNEXPLAINED_CREDIT
BILLDOC503568,BILLING_SPIKE
BILLDOC503569,DUPLICATE_CHARGE
BILLDOC503570,DUPLICATE_CHARGE
BILLDOC503588,DUPLICATE_CHARGE
BILLDOC503589,DUPLICATE_CHARGE
BILLDOC503607,UNDERBILLING
BILLDOC503616,DUPLICATE_CHARGE
BILLDOC503617,DUPLICATE_CHARGE
