BILLING_DOC,GPART,CONTRACT_ACCOUNT,PLAN_TYPE,BILLING_PERIOD,USAGE_UNITS,INVOICE_AMOUNT,CURRENCY,PAYMENT_STATUS,DUNNING_LEVEL,DUE_DATE
BILLDOC500001,BP100001,CA200000,STANDARD,2024-01,112.42,1588.93,INR,PAID,0,2024-01-22
BILLDOC500002,BP100001,CA200000,STANDARD,2024-02,96.54,1576.23,INR,PAID,0,2024-02-22
BILLDOC500003,BP100001,CA200000,STANDARD,2024-03,116.19,1591.95,INR,PAID,0,2024-03-22
BILLDOC500004,BP100001,CA200000,STANDARD,2024-04,138.08,1.66,INR,PAID,0,2024-04-22
BILLDOC500005,BP100001,CA200000,STANDARD,2024-05,94.15,1574.32,INR,PAID,0,2024-05-22
BILLDOC500006,BP100001,CA200000,STANDARD,2024-06,94.15,1574.32,INR,OPEN,0,2024-06-22
BILLDOC500007,BP100001,CA200000,STANDARD,2024-07,139.48,1610.58,INR,PAID,0,2024-07-22
BILLDOC500008,BP100001,CA200000,STANDARD,2024-08,119.19,1594.35,INR,PAID,0,2024-08-22
BILLDOC500009,BP100001,CA200000,STANDARD,2024-09,88.26,1569.61,INR,PAID,0,2024-09-22
BILLDOC500010,BP100001,CA200000,STANDARD,2024-10,113.56,1589.85,INR,PAID,0,2024-10-22
BILLDOC500011,BP100001,CA200000,STANDARD,2024-11,88.41,1569.73,INR,PAID,0,2024-11-22
BILLDOC500012,BP100001,CA200000,STANDARD,2024-12,88.36,1569.69,INR,OPEN,0,2024-12-22
BILLDOC500013,BP100001,CA200000,STANDARD,2025-01,106.05,1583.84,INR,OPEN,0,2025-01-22
BILLDOC500014,BP100001,CA200000,STANDARD,2025-02,52.17,1540.73,INR,PAID,0,2025-02-22
BILLDOC500015,BP100001,CA200000,STANDARD,2025-03,56.88,1544.5,INR,PAID,0,2025-03-22
BILLDOC500016,BP100001,CA200000,STANDARD,2025-04,85.94,1567.75,INR,PAID,0,2025-04-22
BILLDOC500017,BP100001,CA200000,STANDARD,2025-05,74.68,1558.74,INR,PAID,0,2025-05-22
BILLDOC500018,BP100001,CA200000,STANDARD,2025-06,107.86,1585.28,INR,PAID,0,2025-06-22
BILLDOC500019,BP100001,CA200000,STANDARD,2025-07,77.3,1560.84,INR,OPEN,0,2025-07-22
BILLDOC500020,BP100001,CA200000,STANDARD,2025-08,64.69,1550.75,INR,PAID,0,2025-08-22
BILLDOC500021,BP100001,CA200000,STANDARD,2025-09,136.64,1608.31,INR,PAID,0,2025-09-22
BILLDOC500022,BP100001,CA200000,STANDARD,2025-10,94.36,1574.48,INR,PAID,0,2025-10-22
BILLDOC500023,BP100001,CA200000,STANDARD,2025-11,101.69,1580.35,INR,OVERDUE,3,2025-11-22
BILLDOC500024,BP100001,CA200000,STANDARD,2025-12,64.38,1550.51,INR,PAID,0,2025-12-22
BILLDOC500025,BP100001,CA200000,STANDARD,2026-01,86.39,1568.11,INR,OPEN,0,2026-01-22
