GPART,PARTNER_NAME,REGION,CUSTOMER_SINCE,INDUSTRY
BP100001,"Rodriguez, Figueroa and Sanchez",US-WEST,2024-01-26,SaaS
BP100002,Rhodes PLC,IN-SOUTH,2024-01-16,Manufacturing
BP100003,Johnson-Davis,IN-WEST,2024-02-12,Telecom
BP100004,"Johnson, Gonzalez and Santos",IN-NORTH,2024-04-08,Telecom
BP100005,Cole LLC,US-WEST,2024-05-26,SaaS
BP100006,Blake and Sons,US-WEST,2024-05-06,Manufacturing
BP100007,Ramirez-Lewis,US-EAST,2024-05-18,SaaS
BP100008,Davis Inc,US-EAST,2024-03-05,FinServ
BP100009,Munoz-Roman,IN-SOUTH,2024-05-12,SaaS
BP100010,"Martinez, Nielsen and Miller",IN-SOUTH,2024-02-23,Telecom
BP100011,"Montgomery, Hensley and Ray",IN-NORTH,2024-05-07,Retail
BP100012,Stanley LLC,US-EAST,2024-06-27,SaaS
BP100013,Delacruz Group,US-EAST,2024-02-20,Telecom
BP100014,"Flowers, Martin and Kelly",US-WEST,2024-05-01,Manufacturing
BP100015,"Zuniga, Wong and Lynch",US-WEST,2024-01-31,Retail
BP100016,"Sanchez, Ford and Nelson",IN-EAST,2024-06-16,Telecom
BP100017,"Hawkins, Cohen and Cameron",IN-EAST,2024-05-20,Retail
BP100018,Underwood LLC,IN-WEST,2024-03-13,SaaS
BP100019,Clark PLC,IN-NORTH,2024-06-07,Manufacturing
BP100020,Lewis-Porter,IN-EAST,2024-06-09,Media
BP100021,"Ellis, Baker and Wright",IN-WEST,2024-04-11,Telecom
BP100022,Burgess-Patterson,IN-NORTH,2024-04-15,Media
BP100023,Robinson-Bright,IN-SOUTH,2024-04-02,SaaS
BP100024,Campos Inc,IN-EAST,2024-01-28,SaaS
BP100025,Conner Group,IN-WEST,2024-04-17,Media
BP100026,James-Ferrell,US-EAST,2024-04-05,Media
BP100027,"Valencia, Smith and Le",IN-SOUTH,2024-05-03,Manufacturing
BP100028,"Potter, Mack and Peterson",IN-EAST,2024-02-23,Retail
BP100029,Chavez Ltd,IN-SOUTH,2024-06-07,FinServ
BP100030,Stanton-Gill,IN-SOUTH,2024-04-01,Retail
BP100031,Harrell LLC,IN-WEST,2024-06-01,Manufacturing
BP100032,"Lynch, Hernandez and Farmer",US-EAST,2024-04-07,Media
BP100033,"Sellers, George and Burns",US-EAST,2024-01-21,Telecom
BP100034,Koch-Decker,US-WEST,2024-02-25,SaaS
BP100035,Allen PLC,IN-SOUTH,2024-06-20,Manufacturing
BP100036,Dennis Inc,IN-NORTH,2024-06-26,Media
BP100037,"Cannon, Anderson and Alvarez",IN-SOUTH,2024-04-09,Telecom
BP100038,Rose-Obrien,IN-SOUTH,2024-06-23,FinServ
BP100039,"Campos, Vaughn and Marquez",IN-WEST,2024-03-13,FinServ
BP100040,"Santos, Kim and Holmes",US-WEST,2024-01-22,Media
BP100041,Brown Inc,IN-NORTH,2024-04-16,Media
BP100042,Chapman Inc,IN-WEST,2024-01-13,Telecom
BP100043,"Brown, Jones and Johnson",US-WEST,2024-02-29,Media
BP100044,"Young, Caldwell and Lewis",US-WEST,2024-01-24,Manufacturing
BP100045,"Johnston, Sanchez and Kennedy",US-WEST,2024-03-14,SaaS
BP100046,Davis Group,US-EAST,2024-03-05,Manufacturing
BP100047,Owens-Daniel,IN-NORTH,2024-05-01,Retail
BP100048,"Garcia, Powell and Morgan",US-WEST,2024-06-04,Telecom
BP100049,Lee PLC,IN-NORTH,2024-03-22,FinServ
BP100050,White-Ford,IN-EAST,2024-06-07,Media
BP100051,Ramos PLC,US-WEST,2024-01-18,Manufacturing
BP100052,"Kidd, Huff and Novak",US-EAST,2024-06-16,Telecom
BP100053,Martin Group,US-WEST,2024-03-28,Media
BP100054,Barrera-Martin,IN-SOUTH,2024-01-01,Telecom
BP100055,Baker-Bowers,IN-SOUTH,2024-03-23,Media
BP100056,Horton-Cross,IN-EAST,2024-05-21,Media
BP100057,"Higgins, Moore and Phillips",IN-SOUTH,2024-06-24,Telecom
BP100058,"Fitzgerald, Brown and Edwards",US-EAST,2024-01-10,Manufacturing
BP100059,Shaw-Farrell,IN-WEST,2024-01-29,Telecom
BP100060,"Miller, Lopez and Larson",US-WEST,2024-05-02,FinServ
BP100061,Powell PLC,IN-EAST,2024-02-14,Manufacturing
BP100062,"Williams, Miller and Sandoval",IN-EAST,2024-04-12,Telecom
BP100063,Donovan-Harris,IN-WEST,2024-05-09,Telecom
BP100064,Baker and Sons,IN-NORTH,2024-05-01,Manufacturing
BP100065,Bryant-Hickman,US-EAST,2024-06-18,Retail
BP100066,Ellis PLC,IN-WEST,2024-06-29,Manufacturing
BP100067,Medina PLC,US-EAST,2024-02-18,FinServ
BP100068,Ibarra-Suarez,US-EAST,2024-03-07,FinServ
BP100069,Kim PLC,IN-WEST,2024-05-07,Telecom
BP100070,"Riggs, Roman and Rice",IN-NORTH,2024-04-30,Retail
BP100071,"Evans, Alvarado and Mcmillan",IN-EAST,2024-01-25,SaaS
BP100072,Preston Ltd,IN-SOUTH,2024-04-10,SaaS
BP100073,Campbell-Clark,IN-NORTH,2024-03-03,Manufacturing
BP100074,"Walters, Baker and Freeman",IN-NORTH,2024-06-12,Manufacturing
BP100075,Davis Group,IN-EAST,2024-05-30,Retail
BP100076,Smith and Sons,IN-SOUTH,2024-04-25,FinServ
BP100077,Martin-Ramos,IN-EAST,2024-05-07,Retail
BP100078,"Smith, Jones and Ware",IN-EAST,2024-06-12,Retail
BP100079,"Johnson, Wood and Tran",IN-WEST,2024-03-18,Retail
BP100080,Parker Inc,IN-SOUTH,2024-06-11,Manufacturing
BP100081,Fleming Ltd,US-WEST,2024-01-19,SaaS
BP100082,"Henson, Russell and Oliver",US-WEST,2024-01-28,Retail
BP100083,Hancock and Sons,IN-WEST,2024-06-08,Manufacturing
BP100084,White LLC,IN-WEST,2024-05-21,SaaS
BP100085,Pham-Shields,IN-WEST,2024-05-26,FinServ
BP100086,Moore-Haynes,IN-NORTH,2024-03-10,FinServ
BP100087,Garrison and Sons,IN-SOUTH,2024-02-06,Manufacturing
BP100088,Bailey-Hoover,US-WEST,2024-06-06,Media
BP100089,Johnson and Sons,US-EAST,2024-03-13,Telecom
BP100090,Lin-Rasmussen,US-EAST,2024-02-20,SaaS
BP100091,"Hicks, Frazier and Anthony",US-WEST,2024-02-29,Media
BP100092,Wilson LLC,US-WEST,2024-02-02,Retail
BP100093,Johnson-Carlson,US-EAST,2024-03-03,Telecom
BP100094,Graham-Joyce,IN-NORTH,2024-01-21,Media
BP100095,"Lee, Williams and Graham",IN-NORTH,2024-04-04,Retail
BP100096,"Mcdaniel, Bentley and Mclaughlin",US-EAST,2024-02-05,SaaS
BP100097,Jones-Beck,US-EAST,2024-02-29,Media
BP100098,Alvarado-Martinez,IN-EAST,2024-06-11,SaaS
BP100099,"Parker, Ortiz and Powell",IN-SOUTH,2024-02-23,Media
BP100100,Lee Ltd,IN-WEST,2024-06-19,Telecom
BP100101,"Adkins, Thompson and Carroll",IN-SOUTH,2024-03-14,Telecom
BP100102,Torres and Sons,US-EAST,2024-03-18,SaaS
BP100103,"Lawson, Morris and Ramos",IN-SOUTH,2024-05-02,Manufacturing
BP100104,"Kennedy, Santana and Flynn",IN-EAST,2024-01-31,SaaS
BP100105,Campbell Ltd,US-EAST,2024-04-24,Telecom
BP100106,Davis-Crane,IN-NORTH,2024-02-12,Manufacturing
BP100107,Walker-Gonzalez,IN-EAST,2024-01-05,Retail
BP100108,Riggs PLC,IN-NORTH,2024-06-02,Media
BP100109,Gibson Ltd,US-EAST,2024-04-14,Retail
BP100110,"Horton, Snyder and Sanchez",IN-EAST,2024-04-28,Telecom
BP100111,Stafford Inc,US-EAST,2024-05-20,Manufacturing
BP100112,Thompson Ltd,US-WEST,2024-04-03,Telecom
BP100113,Grant Inc,US-WEST,2024-03-23,Media
BP100114,Contreras-Travis,IN-EAST,2024-04-17,Manufacturing
BP100115,Salazar-Ball,US-WEST,2024-04-01,Media
BP100116,"Griffin, Moore and Hensley",IN-EAST,2024-03-22,Retail
BP100117,Larsen LLC,IN-EAST,2024-05-18,SaaS
BP100118,"Washington, Allen and Gonzales",IN-NORTH,2024-05-09,Telecom
BP100119,Nelson LLC,IN-SOUTH,2024-06-10,Media
BP100120,Taylor and Sons,IN-SOUTH,2024-03-10,Retail
BP100121,Mccarthy Inc,US-EAST,2024-03-16,Telecom
BP100122,Daniels-Perry,US-EAST,2024-02-07,Telecom
BP100123,Price-Carrillo,IN-SOUTH,2024-06-20,SaaS
BP100124,Gates PLC,US-WEST,2024-03-09,Manufacturing
BP100125,Bender LLC,IN-SOUTH,2024-05-16,Telecom
BP100126,Medina-Navarro,IN-SOUTH,2024-05-24,SaaS
BP100127,Freeman LLC,IN-WEST,2024-03-19,SaaS
BP100128,Price Ltd,US-EAST,2024-05-02,Telecom
BP100129,Ramsey-Pittman,IN-WEST,2024-06-15,Manufacturing
BP100130,"Ferguson, Meadows and Vargas",IN-EAST,2024-04-30,Telecom
BP100131,Day and Sons,US-EAST,2024-06-05,Telecom
BP100132,Williams Group,US-WEST,2024-02-29,Retail
BP100133,Murphy-Juarez,US-EAST,2024-03-09,FinServ
BP100134,King-Miller,IN-NORTH,2024-01-04,FinServ
BP100135,"Williams, Crane and Walker",IN-EAST,2024-01-13,Telecom
BP100136,"Williams, Johnson and Wright",IN-SOUTH,2024-05-31,SaaS
BP100137,"Hernandez, Martinez and Caldwell",US-WEST,2024-04-12,FinServ
BP100138,Marshall LLC,IN-WEST,2024-05-18,FinServ
BP100139,Obrien Ltd,IN-EAST,2024-05-10,FinServ
BP100140,Oconnell Inc,US-WEST,2024-04-14,SaaS
BP100141,Johnston-Odonnell,US-WEST,2024-03-08,Manufacturing
