GPART,CONTRACT_ACCOUNT,PLAN_TYPE,CONTRACT_START,BASE_FEE,USAGE_RATE,STATUS
BP100001,CA200000,STANDARD,2024-01-26,1499,0.8,ACTIVE
BP100002,CA200001,STANDARD,2024-01-16,1499,0.8,ACTIVE
BP100003,CA200002,PREMIUM,2024-02-12,3999,1.2,ACTIVE
BP100004,CA200003,ENTERPRISE,2024-04-08,9999,1.5,ACTIVE
BP100005,CA200004,STANDARD,2024-05-26,1499,0.8,ACTIVE
BP100006,CA200005,STANDARD,2024-05-06,1499,0.8,ACTIVE
BP100007,CA200006,ENTERPRISE,2024-05-18,9999,1.5,ACTIVE
BP100008,CA200007,PREMIUM,2024-03-05,3999,1.2,ACTIVE
BP100009,CA200008,BASIC,2024-05-12,499,0.5,ACTIVE
BP100010,CA200009,BASIC,2024-02-23,499,0.5,ACTIVE
BP100011,CA200010,BASIC,2024-05-07,499,0.5,ACTIVE
BP100012,CA200011,STANDARD,2024-06-27,1499,0.8,ACTIVE
BP100013,CA200012,BASIC,2024-02-20,499,0.5,ACTIVE
BP100014,CA200013,BASIC,2024-05-01,499,0.5,CHURNED
BP100015,CA200014,BASIC,2024-01-31,499,0.5,ACTIVE
BP100016,CA200015,BASIC,2024-06-16,499,0.5,ACTIVE
BP100017,CA200016,STANDARD,2024-05-20,1499,0.8,ACTIVE
BP100018,CA200017,BASIC,2024-03-13,499,0.5,ACTIVE
BP100019,CA200018,BASIC,2024-06-07,499,0.5,ACTIVE
BP100020,CA200019,BASIC,2024-06-09,499,0.5,ACTIVE
BP100021,CA200020,BASIC,2024-04-11,499,0.5,ACTIVE
BP100022,CA200021,STANDARD,2024-04-15,1499,0.8,ACTIVE
BP100023,CA200022,ENTERPRISE,2024-04-02,9999,1.5,ACTIVE
BP100024,CA200023,STANDARD,2024-01-28,1499,0.8,ACTIVE
BP100025,CA200024,STANDARD,2024-04-17,1499,0.8,ACTIVE
BP100026,CA200025,STANDARD,2024-04-05,1499,0.8,ACTIVE
BP100027,CA200026,STANDARD,2024-05-03,1499,0.8,CHURNED
BP100028,CA200027,PREMIUM,2024-02-23,3999,1.2,ACTIVE
BP100029,CA200028,BASIC,2024-06-07,499,0.5,ACTIVE
BP100030,CA200029,STANDARD,2024-04-01,1499,0.8,CHURNED
BP100031,CA200030,STANDARD,2024-06-01,1499,0.8,ACTIVE
BP100032,CA200031,PREMIUM,2024-04-07,3999,1.2,ACTIVE
BP100033,CA200032,STANDARD,2024-01-21,1499,0.8,ACTIVE
BP100034,CA200033,BASIC,2024-02-25,499,0.5,ACTIVE
BP100035,CA200034,STANDARD,2024-06-20,1499,0.8,ACTIVE
BP100036,CA200035,ENTERPRISE,2024-06-26,9999,1.5,ACTIVE
BP100037,CA200036,PREMIUM,2024-04-09,3999,1.2,CHURNED
