BILLING_DOC,GPART,CONTRACT_ACCOUNT,PLAN_TYPE,BILLING_PERIOD,USAGE_UNITS,INVOICE_AMOUNT,CURRENCY,PAYMENT_STATUS,DUNNING_LEVEL,DUE_DATE,BASE_FEE,USAGE_RATE,STATUS,REGION,INDUSTRY,EXPECTED_AMOUNT,AMOUNT_DEVIATION_PCT,CUST_ROLLING_MEAN,DEV_FROM_OWN_HISTORY,DOC_COUNT_SAME_PERIOD,IS_DUPLICATE_PERIOD,AMOUNT_TO_BASE_RATIO,ANOMALY_SCORE_RAW,ANOMALY_DECISION_SCORE,PREDICTED_ANOMALY,RULE_FLAG_DUPLICATE,FINAL_ANOMALY_FLAG,IS_TRUE_ANOMALY
BILLDOC500001,BP100001,CA200000,STANDARD,2024-01,112.42,1588.93,INR,PAID,0,2024-01-22,1499,0.8,ACTIVE,US-WEST,SaaS,1588.936,-3.7761118130989035e-06,1588.93,0.0,1,0,1.059993328885924,1,0.2576141225293194,0,0,0,0
BILLDOC500002,BP100001,CA200000,STANDARD,2024-02,96.54,1576.23,INR,PAID,0,2024-02-22,1499,0.8,ACTIVE,US-WEST,SaaS,1576.232,-1.2688487481238208e-06,1588.93,-12.700000000000045,1,0,1.0515210140093396,1,0.2638732020824152,0,0,0,0
BILLDOC500003,BP100001,CA200000,STANDARD,2024-03,116.19,1591.95,INR,PAID,0,2024-03-22,1499,0.8,ACTIVE,US-WEST,SaaS,1591.952,-1.2563192859789155e-06,1582.58,9.370000000000118,1,0,1.0620080053368912,1,0.2641362973927304,0,0,0,0
BILLDOC500004,BP100001,CA200000,STANDARD,2024-04,138.08,1.66,INR,PAID,0,2024-04-22,1499,0.8,ACTIVE,US-WEST,SaaS,1609.464,-0.9989686007267015,1585.7033333333336,-1584.0433333333335,1,0,0.0011074049366244162,-1,-0.02870855523339455,1,0,1,1
BILLDOC500005,BP100001,CA200000,STANDARD,2024-05,94.15,1574.32,INR,PAID,0,2024-05-22,1499,0.8,ACTIVE,US-WEST,SaaS,1574.32,0.0,1189.6925,384.6274999999998,1,0,1.0502468312208137,1,0.24461416507653705,0,0,0,0
BILLDOC500006,BP100001,CA200000,STANDARD,2024-06,94.15,1574.32,INR,OPEN,0,2024-06-22,1499,0.8,ACTIVE,US-WEST,SaaS,1574.32,0.0,1266.618,307.702,1,0,1.0502468312208137,1,0.25021317059095893,0,0,0,0
BILLDOC500007,BP100001,CA200000,STANDARD,2024-07,139.48,1610.58,INR,PAID,0,2024-07-22,1499,0.8,ACTIVE,US-WEST,SaaS,1610.584,-2.483571176748798e-06,1317.9016666666666,292.6783333333333,1,0,1.0744362908605736,1,0.2378998582146687,0,0,0,0
BILLDOC500008,BP100001,CA200000,STANDARD,2024-08,119.19,1594.35,INR,PAID,0,2024-08-22,1499,0.8,ACTIVE,US-WEST,SaaS,1594.352,-1.25442813141645e-06,1359.712857142857,234.63714285714286,1,0,1.0636090727151433,1,0.25344468026282374,0,0,0,0
BILLDOC500009,BP100001,CA200000,STANDARD,2024-09,88.26,1569.61,INR,PAID,0,2024-09-22,1499,0.8,ACTIVE,US-WEST,SaaS,1569.608,1.2742034953648977e-06,1389.0425,180.56749999999988,1,0,1.047104736490994,1,0.2562745192710624,0,0,0,0
BILLDOC500010,BP100001,CA200000,STANDARD,2024-10,113.56,1589.85,INR,PAID,0,2024-10-22,1499,0.8,ACTIVE,US-WEST,SaaS,1589.848,1.257981895094818e-06,1409.1055555555556,180.7444444444443,1,0,1.0606070713809206,1,0.2573446921941593,0,0,0,0
BILLDOC500011,BP100001,CA200000,STANDARD,2024-11,88.41,1569.73,INR,PAID,0,2024-11-22,1499,0.8,ACTIVE,US-WEST,SaaS,1569.728,1.2741060871391135e-06,1427.1799999999998,142.55000000000018,1,0,1.0471847898599067,1,0.258442992912654,0,0,0,0
BILLDOC500012,BP100001,CA200000,STANDARD,2024-12,88.36,1569.69,INR,OPEN,0,2024-12-22,1499,0.8,ACTIVE,US-WEST,SaaS,1569.688,1.2741385548928872e-06,1440.1390909090908,129.55090909090927,1,0,1.0471581054036025,1,0.25996325097300915,0,0,0,0
BILLDOC500013,BP100001,CA200000,STANDARD,2025-01,106.05,1583.84,INR,OPEN,0,2025-01-22,1499,0.8,ACTIVE,US-WEST,SaaS,1583.84,0.0,1450.9350000000002,132.90499999999975,1,0,1.056597731821214,1,0.26098427791189166,0,0,0,0
BILLDOC500014,BP100001,CA200000,STANDARD,2025-02,52.17,1540.73,INR,PAID,0,2025-02-22,1499,0.8,ACTIVE,US-WEST,SaaS,1540.736,-3.894242751571646e-06,1461.1584615384616,79.57153846153847,1,0,1.0278385590393595,1,0.2443118379439671,0,0,0,0
BILLDOC500015,BP100001,CA200000,STANDARD,2025-03,56.88,1544.5,INR,PAID,0,2025-03-22,1499,0.8,ACTIVE,US-WEST,SaaS,1544.504,-2.5898281907365813e-06,1466.842142857143,77.65785714285698,1,0,1.0303535690460306,1,0.24825884576295965,0,0,0,0
BILLDOC500016,BP100001,CA200000,STANDARD,2025-04,85.94,1567.75,INR,PAID,0,2025-04-22,1499,0.8,ACTIVE,US-WEST,SaaS,1567.752,-1.275711974822999e-06,1472.0193333333334,95.7306666666666,1,0,1.0458639092728486,1,0.2611163917675729,0,0,0,0
BILLDOC500017,BP100001,CA200000,STANDARD,2025-05,74.68,1558.74,INR,PAID,0,2025-05-22,1499,0.8,ACTIVE,US-WEST,SaaS,1558.744,-2.5661686588082538e-06,1478.0025,80.73749999999995,1,0,1.039853235490327,1,0.2547541275916269,0,0,0,0
BILLDOC500018,BP100001,CA200000,STANDARD,2025-06,107.86,1585.28,INR,PAID,0,2025-06-22,1499,0.8,ACTIVE,US-WEST,SaaS,1585.288,-5.046401663318084e-06,1482.7517647058824,102.52823529411762,1,0,1.0575583722481654,1,0.24711595645040896,0,0,0,0
BILLDOC500019,BP100001,CA200000,STANDARD,2025-07,77.3,1560.84,INR,OPEN,0,2025-07-22,1499,0.8,ACTIVE,US-WEST,SaaS,1560.84,0.0,1488.447777777778,72.39222222222202,1,0,1.0412541694462976,1,0.2636000556876612,0,0,0,0
BILLDOC500020,BP100001,CA200000,STANDARD,2025-08,64.69,1550.75,INR,PAID,0,2025-08-22,1499,0.8,ACTIVE,US-WEST,SaaS,1550.752,-1.2896968696172607e-06,1492.2578947368422,58.49210526315778,1,0,1.0345230153435623,1,0.25755044674133737,0,0,0,0
BILLDOC500021,BP100001,CA200000,STANDARD,2025-09,136.64,1608.31,INR,PAID,0,2025-09-22,1499,0.8,ACTIVE,US-WEST,SaaS,1608.312,-1.2435398106540935e-06,1495.1825000000001,113.12749999999983,1,0,1.0729219479653103,1,0.25535659251090204,0,0,0,0
BILLDOC500022,BP100001,CA200000,STANDARD,2025-10,94.36,1574.48,INR,PAID,0,2025-10-22,1499,0.8,ACTIVE,US-WEST,SaaS,1574.488,-5.0810168131088954e-06,1500.5695238095238,73.91047619047617,1,0,1.0503535690460306,1,0.24880505010524945,0,0,0,0
BILLDOC500023,BP100001,CA200000,STANDARD,2025-11,101.69,1580.35,INR,OVERDUE,3,2025-11-22,1499,0.8,ACTIVE,US-WEST,SaaS,1580.352,-1.2655408416479872e-06,1503.929090909091,76.42090909090894,1,0,1.0542695130086723,1,0.0030469624516783478,0,0,0,0
BILLDOC500024,BP100001,CA200000,STANDARD,2025-12,64.38,1550.51,INR,PAID,0,2025-12-22,1499,0.8,ACTIVE,US-WEST,SaaS,1550.504,3.8697094622687155e-06,1507.2517391304348,43.25826086956522,1,0,1.034362908605737,1,0.2476619182412722,0,0,0,0
BILLDOC500025,BP100001,CA200000,STANDARD,2026-01,86.39,1568.11,INR,OPEN,0,2026-01-22,1499,0.8,ACTIVE,US-WEST,SaaS,1568.112,-1.2754191028319915e-06,1509.0541666666668,59.05583333333311,1,0,1.0461040693795862,1,0.2624293447201041,0,0,0,0
BILLDOC500026,BP100001,CA200000,STANDARD,2026-02,102.77,1581.22,INR,PAID,0,2026-02-22,1499,0.8,ACTIVE,US-WEST,SaaS,1581.216,2.5296986623793248e-06,1511.4163999999998,69.80360000000019,1,0,1.054849899933289,1,0.26024785175766224,0,0,0,0
BILLDOC500027,BP100001,CA200000,STANDARD,2026-03,71.23,1555.98,INR,PAID,0,2026-03-22,1499,0.8,ACTIVE,US-WEST,SaaS,1555.984,-2.57072052148699e-06,1514.1011538461537,41.878846153846325,1,0,1.038012008005337,1,0.2558168757959949,0,0,0,0
BILLDOC500028,BP100001,CA200000,STANDARD,2026-04,109.39,1586.51,INR,PAID,0,2026-04-22,1499,0.8,ACTIVE,US-WEST,SaaS,1586.512,-1.260627086308018e-06,1515.6522222222222,70.85777777777776,1,0,1.0583789192795197,1,0.26260377930371553,0,0,0,0
BILLDOC500029,BP100001,CA200000,STANDARD,2026-05,84.98,1566.99,INR,PAID,0,2026-05-22,1499,0.8,ACTIVE,US-WEST,SaaS,1566.984,3.829011655566038e-06,1518.1828571428573,48.80714285714271,1,0,1.0453569046030686,1,0.2518606923738751,0,0,0,0
BILLDOC500030,BP100001,CA200000,STANDARD,2026-06,92.71,1573.17,INR,PAID,0,2026-06-22,1499,0.8,ACTIVE,US-WEST,SaaS,1573.168,1.2713200371353092e-06,1519.8658620689655,53.304137931034575,1,0,1.049479653102068,1,0.264109519054156,0,0,0,0
BILLDOC500031,BP100002,CA200001,STANDARD,2024-01,84.96,1566.97,INR,PAID,0,2024-01-22,1499,0.8,ACTIVE,IN-SOUTH,Manufacturing,1566.968,1.2763502509002776e-06,1566.97,0.0,1,0,1.0453435623749165,1,0.2637547331827086,0,0,0,0
BILLDOC500032,BP100002,CA200001,STANDARD,2024-02,146.31,1616.05,INR,PAID,0,2024-02-22,1499,0.8,ACTIVE,IN-SOUTH,Manufacturing,1616.048,1.2375870023370013e-06,1566.97,49.07999999999993,1,0,1.0780853902601735,1,0.25581359383116603,0,0,0,0
